CVDID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
1.0,2.0,1.0,4.0,4.0,5.0,32.0,1.0,2.0,5.0,3.0
5.0,2.0,2.0,2.0,4.0,35.0,25.0,1.0,2.0,4.0,3.0
15.0,3.0,4.0,2.0,1.0,5.0,58.0,2.0,2.0,5.0,9.0
32.0,2.0,2.0,3.0,5.0,5.0,19.0,1.0,1.0,5.0,3.0
37.0,2.0,1.0,2.0,1.0,32.0,25.0,2.0,2.0,5.0,2.0
49.0,2.0,1.0,1.0,4.0,13.0,40.0,1.0,2.0,5.0,2.0
62.0,3.0,2.0,2.0,1.0,37.0,71.0,1.0,2.0,5.0,5.0
67.0,2.0,1.0,2.0,1.0,38.0,29.0,2.0,2.0,5.0,5.0
71.0,2.0,1.0,1.0,6.0,5.0,19.0,1.0,2.0,2.0,2.0
87.0,2.0,1.0,1.0,6.0,18.0,29.0,1.0,2.0,5.0,3.0
95.0,2.0,3.0,2.0,4.0,47.0,50.0,2.0,2.0,2.0,5.0
98.0,2.0,1.0,3.0,3.0,25.0,25.0,2.0,2.0,5.0,6.0
105.0,2.0,4.0,2.0,2.0,28.0,40.0,2.0,2.0,5.0,5.0
106.0,2.0,1.0,2.0,2.0,47.0,19.0,1.0,2.0,5.0,2.0
115.0,3.0,3.0,2.0,2.0,9.0,54.0,2.0,2.0,5.0,4.0
120.0,3.0,2.0,1.0,4.0,38.0,69.0,2.0,2.0,5.0,4.0
121.0,2.0,5.0,3.0,4.0,25.0,59.0,2.0,2.0,5.0,5.0
123.0,2.0,1.0,2.0,2.0,20.0,20.0,2.0,2.0,4.0,1.0
127.0,2.0,1.0,2.0,1.0,22.0,20.0,1.0,2.0,4.0,3.0
137.0,2.0,1.0,2.0,1.0,5.0,21.0,2.0,1.0,8.0,3.0
147.0,3.0,1.0,4.0,4.0,22.0,59.0,1.0,3.0,7.0,7.0
155.0,2.0,1.0,2.0,1.0,36.0,19.0,2.0,2.0,5.0,2.0
174.0,2.0,1.0,3.0,4.0,5.0,26.0,1.0,1.0,8.0,4.0
184.0,2.0,1.0,1.0,6.0,36.0,50.0,1.0,2.0,5.0,5.0
188.0,3.0,1.0,2.0,2.0,17.0,58.0,1.0,2.0,5.0,2.0
204.0,2.0,1.0,2.0,2.0,28.0,21.0,1.0,2.0,2.0,2.0
212.0,2.0,7.0,3.0,1.0,21.0,19.0,1.0,2.0,5.0,3.0
244.0,2.0,1.0,2.0,2.0,32.0,21.0,2.0,2.0,5.0,3.0
252.0,2.0,1.0,2.0,1.0,47.0,59.0,2.0,2.0,5.0,6.0
264.0,2.0,1.0,2.0,2.0,40.0,19.0,1.0,2.0,5.0,3.0
268.0,2.0,1.0,2.0,3.0,21.0,21.0,1.0,2.0,5.0,3.0
270.0,1.0,2.0,2.0,1.0,47.0,43.0,1.0,2.0,6.0,5.0
271.0,1.0,1.0,3.0,3.0,13.0,20.0,1.0,1.0,7.0,3.0
285.0,2.0,3.0,2.0,2.0,33.0,26.0,2.0,2.0,2.0,6.0
304.0,1.0,1.0,1.0,5.0,5.0,29.0,2.0,2.0,5.0,2.0
320.0,2.0,1.0,2.0,2.0,9.0,22.0,1.0,2.0,2.0,5.0
333.0,2.0,7.0,2.0,2.0,10.0,19.0,2.0,2.0,1.0,2.0
347.0,2.0,1.0,2.0,1.0,5.0,24.0,2.0,1.0,6.0,5.0
350.0,2.0,1.0,2.0,2.0,5.0,21.0,1.0,2.0,5.0,3.0
360.0,2.0,7.0,3.0,2.0,29.0,18.0,1.0,2.0,5.0,3.0
362.0,2.0,1.0,2.0,1.0,38.0,23.0,2.0,2.0,5.0,6.0
363.0,2.0,1.0,1.0,4.0,22.0,23.0,2.0,2.0,5.0,6.0
377.0,2.0,3.0,1.0,5.0,16.0,23.0,1.0,2.0,5.0,3.0
402.0,1.0,3.0,2.0,1.0,38.0,28.0,1.0,2.0,5.0,5.0
416.0,1.0,3.0,2.0,1.0,9.0,24.0,2.0,2.0,5.0,5.0
423.0,2.0,1.0,1.0,5.0,46.0,19.0,1.0,2.0,2.0,3.0
433.0,2.0,1.0,2.0,3.0,43.0,25.0,1.0,1.0,4.0,5.0
450.0,1.0,5.0,3.0,4.0,28.0,36.0,2.0,2.0,5.0,4.0
451.0,1.0,3.0,1.0,7.0,47.0,52.0,2.0,2.0,5.0,5.0
462.0,1.0,4.0,1.0,7.0,9.0,34.0,1.0,2.0,5.0,5.0
465.0,3.0,7.0,4.0,1.0,3.0,50.0,1.0,2.0,5.0,3.0
467.0,1.0,1.0,2.0,1.0,7.0,22.0,2.0,2.0,5.0,3.0
483.0,2.0,1.0,2.0,2.0,43.0,21.0,1.0,2.0,5.0,5.0
496.0,1.0,1.0,3.0,5.0,38.0,41.0,2.0,2.0,5.0,5.0
519.0,1.0,1.0,2.0,2.0,10.0,39.0,2.0,2.0,5.0,4.0
523.0,1.0,4.0,2.0,1.0,10.0,32.0,1.0,2.0,5.0,5.0
524.0,1.0,1.0,2.0,2.0,38.0,28.0,2.0,2.0,5.0,4.0
527.0,2.0,1.0,3.0,5.0,5.0,32.0,1.0,1.0,5.0,3.0
529.0,1.0,1.0,3.0,4.0,43.0,37.0,2.0,2.0,6.0,2.0
539.0,2.0,1.0,2.0,2.0,13.0,29.0,2.0,2.0,5.0,5.0
553.0,2.0,1.0,1.0,6.0,5.0,18.0,2.0,2.0,2.0,3.0
569.0,1.0,1.0,3.0,5.0,9.0,27.0,1.0,2.0,4.0,5.0
572.0,1.0,1.0,2.0,3.0,46.0,21.0,2.0,2.0,6.0,2.0
580.0,1.0,2.0,2.0,1.0,46.0,45.0,1.0,2.0,5.0,5.0
584.0,1.0,1.0,2.0,3.0,43.0,40.0,2.0,2.0,4.0,5.0
598.0,1.0,2.0,2.0,5.0,22.0,54.0,2.0,2.0,4.0,7.0
599.0,2.0,3.0,1.0,3.0,37.0,30.0,2.0,2.0,5.0,7.0
600.0,1.0,3.0,2.0,1.0,46.0,27.0,2.0,2.0,2.0,7.0
603.0,1.0,3.0,2.0,2.0,5.0,25.0,1.0,1.0,5.0,5.0
604.0,1.0,2.0,3.0,4.0,22.0,34.0,1.0,2.0,5.0,5.0
613.0,1.0,2.0,3.0,4.0,5.0,51.0,2.0,1.0,5.0,3.0
614.0,2.0,1.0,3.0,4.0,36.0,41.0,1.0,2.0,5.0,4.0
618.0,1.0,2.0,3.0,2.0,31.0,35.0,2.0,2.0,5.0,9.0
621.0,1.0,2.0,2.0,2.0,22.0,40.0,1.0,1.0,6.0,9.0
641.0,1.0,2.0,3.0,5.0,21.0,27.0,1.0,2.0,5.0,2.0
660.0,1.0,3.0,1.0,6.0,5.0,53.0,2.0,2.0,5.0,2.0
671.0,1.0,4.0,2.0,2.0,10.0,62.0,1.0,2.0,2.0,8.0
674.0,1.0,3.0,3.0,5.0,18.0,19.0,1.0,2.0,4.0,2.0
678.0,1.0,2.0,2.0,3.0,30.0,25.0,1.0,1.0,5.0,5.0
679.0,1.0,3.0,3.0,4.0,3.0,46.0,2.0,2.0,5.0,5.0
686.0,1.0,2.0,2.0,2.0,13.0,19.0,1.0,1.0,1.0,3.0
692.0,1.0,4.0,3.0,4.0,30.0,26.0,2.0,2.0,5.0,5.0
694.0,1.0,3.0,3.0,5.0,5.0,32.0,1.0,2.0,2.0,5.0
695.0,1.0,4.0,2.0,2.0,32.0,24.0,1.0,2.0,2.0,5.0
713.0,1.0,2.0,2.0,3.0,14.0,26.0,2.0,2.0,5.0,7.0
731.0,1.0,6.0,3.0,4.0,10.0,52.0,2.0,2.0,5.0,5.0
742.0,1.0,2.0,2.0,2.0,47.0,51.0,2.0,2.0,5.0,7.0
746.0,2.0,2.0,3.0,5.0,43.0,24.0,1.0,2.0,5.0,3.0
749.0,1.0,2.0,2.0,2.0,24.0,30.0,2.0,2.0,4.0,4.0
764.0,1.0,2.0,1.0,7.0,43.0,30.0,2.0,2.0,5.0,3.0
767.0,1.0,4.0,2.0,2.0,22.0,39.0,1.0,2.0,5.0,2.0
776.0,1.0,3.0,2.0,3.0,13.0,47.0,2.0,2.0,5.0,3.0
792.0,1.0,3.0,2.0,2.0,22.0,49.0,1.0,2.0,5.0,3.0
803.0,1.0,5.0,3.0,1.0,5.0,35.0,1.0,2.0,5.0,5.0
820.0,1.0,2.0,3.0,4.0,5.0,26.0,2.0,2.0,6.0,3.0
848.0,1.0,3.0,2.0,3.0,47.0,51.0,1.0,2.0,5.0,5.0
851.0,1.0,4.0,2.0,1.0,23.0,47.0,2.0,2.0,6.0,3.0
852.0,1.0,2.0,2.0,1.0,46.0,63.0,2.0,2.0,5.0,8.0
857.0,1.0,4.0,2.0,1.0,47.0,27.0,1.0,2.0,5.0,5.0
868.0,1.0,6.0,2.0,7.0,5.0,33.0,2.0,2.0,4.0,7.0
887.0,1.0,3.0,2.0,1.0,43.0,30.0,1.0,2.0,5.0,7.0
898.0,1.0,4.0,1.0,6.0,10.0,49.0,1.0,2.0,5.0,5.0
904.0,1.0,3.0,2.0,2.0,48.0,34.0,2.0,2.0,5.0,4.0
905.0,1.0,3.0,1.0,6.0,29.0,28.0,1.0,2.0,5.0,7.0
906.0,1.0,2.0,3.0,2.0,37.0,42.0,1.0,2.0,5.0,3.0
910.0,1.0,4.0,1.0,6.0,9.0,46.0,1.0,2.0,5.0,5.0
911.0,1.0,4.0,1.0,6.0,5.0,37.0,1.0,2.0,5.0,5.0
913.0,1.0,3.0,3.0,4.0,5.0,33.0,1.0,2.0,2.0,5.0
922.0,1.0,2.0,2.0,2.0,33.0,32.0,1.0,2.0,5.0,5.0
929.0,1.0,4.0,1.0,6.0,38.0,50.0,2.0,2.0,5.0,2.0
956.0,2.0,1.0,3.0,4.0,9.0,37.0,1.0,2.0,2.0,4.0
957.0,1.0,5.0,3.0,4.0,28.0,31.0,1.0,2.0,2.0,5.0
961.0,1.0,6.0,2.0,1.0,11.0,39.0,2.0,2.0,5.0,5.0
962.0,1.0,5.0,2.0,2.0,47.0,31.0,1.0,2.0,5.0,5.0
978.0,1.0,3.0,2.0,1.0,22.0,28.0,1.0,2.0,5.0,2.0
997.0,1.0,3.0,3.0,2.0,10.0,40.0,2.0,2.0,5.0,6.0
1010.0,1.0,5.0,2.0,2.0,5.0,37.0,2.0,2.0,5.0,7.0
1020.0,1.0,5.0,2.0,4.0,28.0,31.0,1.0,2.0,5.0,5.0
1023.0,1.0,3.0,1.0,6.0,28.0,34.0,1.0,2.0,5.0,3.0
1058.0,1.0,4.0,3.0,4.0,9.0,32.0,1.0,2.0,5.0,4.0
1063.0,3.0,1.0,2.0,2.0,37.0,48.0,1.0,2.0,5.0,3.0
1074.0,2.0,1.0,2.0,2.0,36.0,47.0,2.0,2.0,5.0,2.0
1076.0,2.0,1.0,2.0,3.0,46.0,21.0,1.0,2.0,5.0,5.0
1087.0,2.0,1.0,2.0,2.0,10.0,24.0,2.0,2.0,2.0,3.0
1089.0,2.0,1.0,2.0,2.0,5.0,19.0,2.0,2.0,5.0,3.0
1097.0,2.0,1.0,2.0,6.0,37.0,67.0,2.0,2.0,5.0,2.0
1100.0,2.0,3.0,1.0,3.0,30.0,50.0,1.0,2.0,5.0,2.0
1106.0,2.0,1.0,2.0,3.0,5.0,18.0,2.0,2.0,2.0,3.0
1110.0,2.0,1.0,2.0,4.0,5.0,19.0,1.0,3.0,8.0,2.0
1111.0,2.0,1.0,1.0,6.0,22.0,23.0,2.0,2.0,5.0,5.0
1124.0,3.0,2.0,2.0,2.0,6.0,56.0,2.0,2.0,5.0,4.0
1127.0,1.0,1.0,2.0,2.0,37.0,50.0,2.0,2.0,5.0,7.0
1128.0,2.0,1.0,1.0,5.0,20.0,19.0,1.0,2.0,5.0,2.0
1129.0,2.0,1.0,3.0,5.0,38.0,18.0,2.0,2.0,5.0,1.0
1131.0,2.0,1.0,1.0,5.0,5.0,19.0,2.0,2.0,2.0,3.0
1135.0,2.0,1.0,2.0,2.0,5.0,19.0,2.0,2.0,2.0,3.0
1137.0,2.0,1.0,2.0,2.0,9.0,22.0,1.0,2.0,2.0,5.0
1139.0,1.0,1.0,2.0,2.0,22.0,24.0,1.0,2.0,2.0,5.0
1142.0,2.0,1.0,2.0,2.0,43.0,25.0,2.0,2.0,2.0,5.0
1144.0,1.0,1.0,3.0,1.0,13.0,19.0,2.0,2.0,5.0,2.0
1158.0,1.0,2.0,2.0,2.0,43.0,23.0,2.0,2.0,2.0,2.0
1169.0,2.0,1.0,3.0,4.0,7.0,19.0,1.0,2.0,5.0,3.0
1173.0,2.0,1.0,3.0,2.0,5.0,25.0,2.0,2.0,7.0,5.0
1174.0,2.0,1.0,2.0,2.0,9.0,26.0,1.0,3.0,5.0,5.0
1177.0,1.0,2.0,2.0,3.0,5.0,24.0,2.0,2.0,2.0,5.0
1179.0,1.0,1.0,2.0,2.0,5.0,27.0,2.0,2.0,6.0,2.0
1182.0,2.0,1.0,3.0,4.0,38.0,36.0,1.0,3.0,8.0,7.0
1203.0,2.0,2.0,3.0,4.0,47.0,37.0,2.0,3.0,5.0,3.0
1204.0,2.0,1.0,2.0,2.0,5.0,25.0,2.0,2.0,5.0,5.0
1220.0,1.0,1.0,1.0,6.0,35.0,43.0,2.0,2.0,5.0,5.0
1221.0,3.0,1.0,2.0,5.0,9.0,64.0,1.0,1.0,6.0,6.0
1233.0,1.0,1.0,3.0,5.0,33.0,20.0,1.0,2.0,1.0,3.0
1253.0,1.0,1.0,2.0,2.0,5.0,25.0,2.0,2.0,5.0,5.0
1255.0,1.0,1.0,2.0,2.0,17.0,42.0,2.0,2.0,5.0,7.0
1266.0,1.0,2.0,2.0,3.0,9.0,65.0,2.0,2.0,5.0,10.0
1269.0,1.0,1.0,3.0,6.0,33.0,20.0,2.0,2.0,4.0,4.0
1277.0,2.0,1.0,3.0,4.0,6.0,29.0,2.0,2.0,4.0,5.0
1281.0,1.0,4.0,3.0,3.0,21.0,53.0,2.0,2.0,5.0,3.0
1291.0,1.0,2.0,2.0,1.0,6.0,19.0,2.0,2.0,2.0,3.0
1294.0,1.0,4.0,2.0,3.0,21.0,34.0,1.0,2.0,2.0,9.0
1296.0,1.0,3.0,2.0,2.0,42.0,26.0,1.0,2.0,1.0,3.0
1313.0,1.0,3.0,2.0,3.0,5.0,34.0,2.0,2.0,2.0,5.0
1316.0,1.0,1.0,3.0,3.0,21.0,28.0,2.0,3.0,5.0,5.0
1333.0,1.0,4.0,2.0,1.0,29.0,36.0,2.0,2.0,5.0,5.0
1344.0,1.0,5.0,2.0,1.0,5.0,45.0,1.0,2.0,2.0,7.0
1349.0,1.0,3.0,3.0,5.0,21.0,29.0,1.0,2.0,5.0,5.0
1351.0,1.0,6.0,1.0,5.0,13.0,58.0,1.0,2.0,7.0,5.0
1364.0,1.0,3.0,2.0,3.0,46.0,42.0,2.0,2.0,4.0,7.0
1376.0,1.0,3.0,2.0,1.0,44.0,28.0,2.0,2.0,5.0,5.0
1384.0,1.0,4.0,3.0,2.0,47.0,59.0,2.0,2.0,5.0,8.0
1386.0,1.0,3.0,2.0,2.0,5.0,32.0,1.0,2.0,2.0,5.0
1401.0,1.0,2.0,2.0,2.0,28.0,27.0,1.0,2.0,2.0,5.0
1426.0,1.0,2.0,2.0,2.0,43.0,24.0,2.0,2.0,5.0,5.0
1432.0,1.0,4.0,3.0,4.0,46.0,23.0,1.0,2.0,8.0,5.0
1444.0,1.0,4.0,2.0,4.0,5.0,26.0,1.0,2.0,2.0,7.0
1449.0,1.0,4.0,1.0,6.0,10.0,53.0,1.0,2.0,5.0,3.0
1450.0,1.0,4.0,1.0,6.0,9.0,49.0,2.0,2.0,5.0,4.0
1451.0,1.0,4.0,3.0,4.0,18.0,23.0,1.0,2.0,8.0,5.0
1457.0,1.0,3.0,1.0,5.0,18.0,40.0,2.0,2.0,5.0,8.0
1463.0,1.0,3.0,3.0,5.0,32.0,28.0,1.0,2.0,5.0,5.0
1477.0,1.0,3.0,2.0,2.0,37.0,32.0,1.0,2.0,2.0,5.0
1495.0,2.0,7.0,2.0,2.0,43.0,19.0,2.0,2.0,6.0,3.0
1498.0,2.0,7.0,2.0,4.0,11.0,20.0,2.0,2.0,3.0,1.0
1503.0,2.0,4.0,2.0,3.0,5.0,19.0,1.0,2.0,5.0,2.0
1512.0,2.0,1.0,1.0,4.0,43.0,20.0,1.0,2.0,2.0,2.0
1514.0,3.0,1.0,3.0,4.0,32.0,70.0,2.0,2.0,5.0,3.0
1520.0,1.0,1.0,2.0,4.0,5.0,18.0,1.0,1.0,6.0,3.0
1526.0,1.0,4.0,2.0,2.0,43.0,38.0,1.0,2.0,5.0,7.0
1537.0,1.0,6.0,2.0,5.0,33.0,24.0,1.0,2.0,5.0,5.0
1546.0,1.0,3.0,3.0,4.0,27.0,57.0,2.0,2.0,5.0,4.0
1547.0,1.0,3.0,2.0,4.0,9.0,39.0,1.0,2.0,5.0,5.0
1564.0,2.0,1.0,1.0,6.0,5.0,19.0,1.0,2.0,5.0,3.0
1569.0,1.0,5.0,1.0,7.0,17.0,43.0,2.0,2.0,5.0,5.0
1580.0,1.0,1.0,3.0,2.0,21.0,19.0,1.0,2.0,5.0,2.0
1583.0,1.0,1.0,1.0,5.0,9.0,18.0,1.0,2.0,5.0,3.0
1586.0,1.0,1.0,1.0,5.0,5.0,32.0,2.0,3.0,6.0,2.0
1593.0,1.0,3.0,1.0,5.0,9.0,42.0,2.0,2.0,5.0,6.0
1599.0,2.0,1.0,3.0,4.0,43.0,19.0,2.0,1.0,6.0,3.0
1615.0,1.0,2.0,2.0,3.0,43.0,21.0,2.0,2.0,2.0,5.0
1617.0,1.0,3.0,2.0,4.0,49.0,33.0,1.0,2.0,5.0,2.0
1621.0,1.0,5.0,3.0,4.0,23.0,52.0,1.0,2.0,5.0,5.0
1624.0,2.0,2.0,2.0,2.0,22.0,18.0,1.0,2.0,5.0,3.0
1626.0,1.0,1.0,4.0,1.0,37.0,29.0,2.0,2.0,5.0,3.0
1642.0,2.0,1.0,1.0,5.0,9.0,53.0,1.0,2.0,5.0,5.0
1643.0,3.0,7.0,3.0,3.0,13.0,62.0,2.0,2.0,5.0,6.0
1644.0,2.0,1.0,4.0,5.0,49.0,51.0,1.0,2.0,5.0,3.0
1648.0,2.0,2.0,2.0,3.0,15.0,62.0,2.0,2.0,5.0,7.0
1649.0,2.0,1.0,3.0,3.0,33.0,33.0,2.0,1.0,5.0,5.0
1655.0,2.0,1.0,2.0,2.0,25.0,33.0,1.0,2.0,5.0,4.0
1657.0,2.0,1.0,2.0,2.0,47.0,28.0,2.0,2.0,5.0,6.0
1683.0,1.0,5.0,2.0,2.0,5.0,30.0,2.0,2.0,2.0,5.0
1685.0,1.0,4.0,2.0,1.0,5.0,34.0,2.0,2.0,5.0,7.0
1700.0,1.0,1.0,2.0,2.0,22.0,51.0,2.0,2.0,5.0,4.0
1738.0,1.0,1.0,2.0,3.0,3.0,35.0,1.0,2.0,5.0,4.0
1741.0,2.0,1.0,2.0,1.0,7.0,27.0,1.0,2.0,5.0,6.0
1766.0,1.0,5.0,1.0,5.0,5.0,39.0,1.0,2.0,2.0,5.0
1769.0,1.0,6.0,1.0,7.0,14.0,45.0,2.0,2.0,5.0,9.0
1771.0,1.0,1.0,3.0,3.0,46.0,28.0,1.0,2.0,5.0,3.0
1776.0,2.0,1.0,3.0,3.0,43.0,21.0,2.0,2.0,2.0,3.0
1777.0,2.0,1.0,2.0,2.0,5.0,25.0,1.0,3.0,6.0,4.0
1782.0,1.0,3.0,2.0,4.0,38.0,28.0,2.0,2.0,2.0,4.0
